Accession,Organism_Name,Submitters,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Genotype,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
UKU72748,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-02-12,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,VA-CDC-MMB13943977,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-01-26
QTW32388,Severe acute respiratory syndrome coronavirus 2,"Grimwood,J., Williams,M., Handley,L.H., Stough,J., Malone,L., Brzezinski,S., Stewart,A., Jones,T., Webber,J., Lovell,J., Cart,J., Schmutz,J.",2021-04-15,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,JGEF,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,"USA: Alabama, Madison County",USA,AL,Homo sapiens,oronasopharynx,2020-12-04
UKD80995,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-02-03,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,DE-CDC-LC0490935,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Delaware,USA,DE,Homo sapiens,oronasopharynx,2022-01-14
WAA99170,Severe acute respiratory syndrome coronavirus 2,"Sullivan,T.J.",2022-12-01,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,TB-90020836,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA,USA,,Homo sapiens,oronasopharynx,2021-11-01
UAZ84054,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., De Feo,E., Antico,J., Tran,C., Tolentino,M., Wickline,S., Gietzen,K., Sickler,B., Liu,J., Allen,E., Febbo,P., Washington,N.L., White,S., Levan,G., Barrett,K.S., Cirulli,E., Bolze,A., Ascencio,A., Rivera-Garcia,C., Cho,R., Nguyen,J., Wang,S., Ramirez,J., Cassens,T., Sandoval,E., Isaksson,M., Lee,W., Becker,D., Laurent,M., Lu,J., Paden,C.R., MacCannell,D., Lacek,K.",2021-09-21,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-STM-000042988,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-03-24
WRW80507,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-19,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-67746,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA,USA,,Homo sapiens,,2022-01-07
WDB02080,Severe acute respiratory syndrome coronavirus 2,"Bowman,A.S., Faith,S.A., Williams,A.M., McBride,D.S., Nolting,J.M., Huey,D., Overend,S.H.",2023-02-14,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,OH-OSU-0926,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA,USA,,Odocoileus virginianus,oronasopharynx,2022-01-20
UWY18608,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-09-19,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,AR-CDC-STM-Z753EE29P,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Arkansas,USA,AR,Homo sapiens,oronasopharynx,2022-09-07
UJT39334,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2022-01-27,BA.1.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB12637048,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2021-12-30
QVE79375,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2021-05-12,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-QDX24155238,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-04-20
UUZ19796,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-08-16,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MT-CDC-LC0815596,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: Montana,USA,MT,Homo sapiens,oronasopharynx,2022-07-29
WKQ90817,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., La Scola,B.",2023-07-20,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-074170,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),75,,envelope protein,France,France,,Homo sapiens,oronasopharynx,2022-03
WAV40396,Severe acute respiratory syndrome coronavirus 2,"Zarate,S., Taboada,B., Rosales-Rivera,M., Garcia-Lopez,R., Munoz-Medina,J.E., Sanchez-Flores,A., Herrera-Estrella,A., Gomez-Gil,B., Selem-Mojica,N., Salas-Lais,A.G., Vazquez-Perez,J.A., Cabrera-Gaytan,D.A., Fernandes-Matano,L., Uribe-Noguez,L.A., Chale-Dzul,J.B., Maldonado Meza,B.I., Mejia-Nepomuceno,F., Perez-Padilla,R., Gutierrez-Rios,R.M., Loza,A., Roche,B., Lopez,S., Arias,C.F., Alvarado-Yaah,J.E., Becerril-Vargas,E., Corona-Armenta,G., Chaidez-Quiroz,C., Dominguez-Zarate,H., Enciso-Ibarra,J., Espinosa-Ayala,G., Fregoso-Rueda,D., Garcia-Gasca,A., Gonzalez,J.P., Gonzalez-Lopez,I., Grande,R., Herrera-Najera,C.I., Jimenez-Moraila,B., Lira-Morales,D., Maldonado-Meza,B.I., Marquez-Rosales,M.G., Martinez-Alvarez,J.C., Martinez-Miguel,B., Martinez-Morales,G.B., Martinez-Rodriguez,C., Mireles-Rivera,M.G., Molina-Salinas,G.M., Montoya-Fuentes,H., Mujica-Sanchez,M., Nunez-Contreras,J., Salinas-Peralta,I.P., Rivas-Santiago,B.T., Salas-Hernandez,J., Santacruz-Tinoco,C.E., Vazquez,G.",2022-12-20,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MIC-4_5095,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,Mexico,Mexico,,Homo sapiens,,2021-12-31
UWK55448,Severe acute respiratory syndrome coronavirus 2,"Atkins,L.M., Johnson,A.N., Ware,G.L., Mijalis,A., Kamil,J.P., Carroll,J.L., Van Diest,M., Scott,R.S., Yurochko,A.D., Queen,K., Kevil,C.G., Vanchiere,J.A., Bocchini,J.A.",2022-09-09,AY.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,LA-EVTL8359,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),119,,ORF8 protein,USA,USA,,Homo sapiens,,2021-09-06
QZB75323,Severe acute respiratory syndrome coronavirus 2,"Linares,O.J.",2021-08-19,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,UT-UPHL-210806452006,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA,USA,,Homo sapiens,,2021-07-08
UMQ84593,Severe acute respiratory syndrome coronavirus 2,"Vestal,G.D., Brown,H.M., Shilts,M.H., Park,B., Boone,H., Pakala,S.B., Rajagopala,S.V., Schmitz,J.E., Das,S.R.",2022-03-07,AY.43,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,TN-VUMC-O-0235,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),419,,nucleocapsid phosphoprotein,USA: TN,USA,TN,Homo sapiens,,2021-11-29
QXH18478,Severe acute respiratory syndrome coronavirus 2,"Denvir,J., Stoilov,P., Perrotta,P., Kimble,W., Percifield,R.",2021-07-06,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,WV064523,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: West Virginia,USA,WV,Homo sapiens,,2021-01-04
QVU91714,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-05-25,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NE-CDC-ASC210037732,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: Nebraska,USA,NE,Homo sapiens,,2021-05-01
UPH53707,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-04-21,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,HI-CDC-QDX35670587,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Hawaii,USA,HI,Homo sapiens,oronasopharynx,2022-04-03
WAV24174,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-12-20,BQ.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-QDX44245158,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-12-01
UXB86337,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-09-19,BA.5.2.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NV-CDC-QDX41099061,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1268,,surface glycoprotein,USA: Nevada,USA,NV,Homo sapiens,oronasopharynx,2022-09-05
UXX06279,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.",2022-10-05,BF.26,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220930420796,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA,USA,,Homo sapiens,,2022-09-13
WBV90067,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2023-01-19,BQ.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,NJ-CDC-QDX43329953,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),7093,,ORF1ab polyprotein,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-11-04
QST04950,Severe acute respiratory syndrome coronavirus 2,"Penn,R., Brown,P., Lara,A.",2021-03-09,B.1.429,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,4530638,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA,USA,,Homo sapiens,,2021-02-10
QWC93996,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.",2021-06-03,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,PA-CDC-LC0062086,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,2021-05-15
QVG48226,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-05-13,B.1.526,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-ASC210030900,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Colorado,USA,CO,Homo sapiens,,2021-04-22
UGP90008,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2021-12-11,AY.39,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-184277,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-12-04
UMK79834,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-03-02,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MA-CDC-QDX33920855,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Massachusetts,USA,MA,Homo sapiens,oronasopharynx,2022-02-08
ULU48998,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-02-25,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-ASC210556670,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Florida,USA,FL,Homo sapiens,,2022-02-12
UXQ67073,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-10-03,BA.5.2.9,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-STM-RHEGDPBUQ,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-09-17
UWK95297,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-09-09,BA.4.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-STM-BKS4KSVUS,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-08-25
UKD47196,Severe acute respiratory syndrome coronavirus 2,"Berrio,A., Wray,G.A., Haase,S.B., Grow,N., Zheng,W., Roscot,N., Lee,M., Polage,C.",2022-02-03,AY.25.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NC-CORVASEQ-DH-356M462000006743,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,"USA: Graham, NC",USA,NC,Homo sapiens,,2021-12-22
UGS95152,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Tugwell,M., Moon,L., Paden,C.R., MacCannell,D.",2021-12-13,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CO-CDC-MMB11557871,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),61,,ORF6 protein,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2021-11-10
UUE06133,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-08-01,BA.5.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,CA-CDC-QDX38922583,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF8 protein,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-07-11
WRW87523,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.",2024-01-19,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-68815,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,USA,USA,,Homo sapiens,,2021-12-27
UMP22927,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-03-05,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WV-CDC-LC0548037,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: West Virginia,USA,WV,Homo sapiens,oronasopharynx,2022-02-17
WZH70685,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Thornburg,N., Unoarumhi,Y., Chau,R., Lacek,K.A., Mandal,P., Bajwa,M., Momin,N., Morrison,S., Gulvik,C., Sula,E., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.",2024-04-16,JN.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MA-CDC-LC1102803,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),416,,nucleocapsid phosphoprotein,USA: Massachusetts,USA,MA,Homo sapiens,oronasopharynx,2024-04-06
