Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
ON925703,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,7/5/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-QDX37054993,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,5/15/2022
OX687041,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/18/2023,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29883,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,7/4/2021
ON957243,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,7/11/2022,BA.4.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-STM-MKAX2XWZ7,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29801,GenBank,complete,,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,6/22/2022
OK188432,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Queen,K., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Tong,S., Lee,J.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,9/20/2021,B.1.1.519,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,AK-CDC-2-3980499,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,GenBank,complete,,USA: AK,USA,AK,Homo sapiens,oronasopharynx,2/22/2021
OM392473,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/26/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,GA-CDC-STM-G9SFXWY8B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,1/13/2022
OU800097,Severe acute respiratory syndrome coronavirus 2,,London,United Kingdom,10/13/2021,AY.4.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/5/2021
OW474650,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,4/16/2022,BA.1.17,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/19/2022
OX448413,Severe acute respiratory syndrome coronavirus 2,"Kohler,C.","University Medicine Greifswald, Friedrich Loeffler Institute of Medical Microbiology, Ferdinand Sauerbruch Strasse 1",Germany,3/10/2023,AY.6,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,20220101594,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29889,GenBank,complete,,Germany:Mecklenburg?West Pomerania,Germany,,Homo sapiens,,12/31/2021
OX675926,Severe acute respiratory syndrome coronavirus 2,,"Lab Block Level 5 , Addenbrookes Hospital, Hills Road, Cambridge, UK Cb2 0Qq",,6/16/2023,B.1.177,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,11/7/2020
OX080974,Severe acute respiratory syndrome coronavirus 2,,"Quadram Institute Bioscience, Norwich Research Park Norwich Nr4 7Uq",,6/15/2022,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29850,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,4/7/2022
OD980627,Severe acute respiratory syndrome coronavirus 2,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,5/4/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/1/2021
OY899866,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,12/7/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/2/2022
OP336438,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,8/30/2022,BE.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,OH-CDC-QDX40314274,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Ohio,USA,OH,Homo sapiens,oronasopharynx,8/12/2022
PP186038,Severe acute respiratory syndrome coronavirus 2,"Andersen,K.","The Scripps Research Institute, Immunology and Microbiology",USA,1/22/2024,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SEARCH-78485,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29807,GenBank,complete,,USA,USA,,Homo sapiens,,1/4/2022
OY408550,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/22/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,10/9/2021
OY907872,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,12/7/2023,AV.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29885,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,5/5/2021
OX540681,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,5/2/2023,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,7/16/2021
OQ242761,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/12/2023,BQ.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MI-CDC-QDX44940865,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29718,GenBank,complete,,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,12/22/2022
OP463673,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,9/20/2022,BA.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-LC0874565,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29711,GenBank,complete,,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,9/2/2022
HG998800,Severe acute respiratory syndrome coronavirus 2,"Constantinides,B.","Modernising Medical Microbiology, John Radcliffe Hospital, Headley Way, Headington, Oxford OX3 9DU",United Kingdom,3/24/2021,B.1.258,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,a175,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,GenBank,complete,,United Kingdom:Oxford,United Kingdom,,Homo sapiens,,1/1/2021
PP116217,Severe acute respiratory syndrome coronavirus 2,"Opentrons,P.","NYC DOHMH, Bureau of the Public Health Laboratory",USA,1/12/2024,JN.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NY-PRL-240109_81G09,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29739,GenBank,complete,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,12/24/2023
FR996558,Severe acute respiratory syndrome coronavirus 2,"Meredith,L.W., Torok,E., Hosmillo,M., Hamilton,W.L., Curran,M.D., Feltwell,T., Hall,G., Yakovleva,A., Khokhar,F.A., Houldcroft,C.J., Caller,L.G., Jahun,A.S., Caddy,S.L., Goodfellow,I., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,4/7/2021,B.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29849,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,3/19/2020
OW466838,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,4/14/2022,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/10/2022
OX588394,Severe acute respiratory syndrome coronavirus 2,,"222 Euston Road, London, NW1 2BU",United Kingdom,5/9/2023,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/29/2020
OU420312,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,7/18/2021,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,7/2/2021
ON731144,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,6/10/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,GA-CDC-QDX37254435,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29709,GenBank,complete,,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,5/20/2022
OY608846,Severe acute respiratory syndrome coronavirus 2,,"University of Portsmouth, Portsmouth, PO1 2DT / Queen Alexandra Hospital, Portsmouth, PO6 3LY / Hampshire Hospitals NHS, Basingstoke, RG24 9NA / Bournemouth University, Poole, BH12 5BB / University Hospitals Dorset NHS Foundation Trust, Poole, BH15 2JB / Brighton and Sussex University Hospitals NHS Trust, Brighton, BN2 1DH / Darent Valley Hospital, Dartford, DA2 8DA / Isle of Wight NHS Trust, Newport, PO30 5TG / Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells Tn2 4Qj / Southampton General Hospital",,7/30/2023,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,12/21/2020
OX603088,Severe acute respiratory syndrome coronavirus 2,,Liverpool,United Kingdom,5/14/2023,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/7/2021
OY371836,Severe acute respiratory syndrome coronavirus 2,,Edinburgh,United Kingdom,7/20/2023,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29850,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,3/28/2022
OX794183,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,6/19/2023,BA.1.14,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29759,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/5/2022
OQ904481,Severe acute respiratory syndrome coronavirus 2,"Colson,P., Levasseur,A., Boschi,C., Fournier,P.-E., La Scola,B.","IHU Mediterranee Infection, IHU Mediterranee Infection",France,5/1/2023,BA.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-070214,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29675,GenBank,complete,,France,France,,Homo sapiens,oronasopharynx,2022-02
OY421275,Severe acute respiratory syndrome coronavirus 2,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,7/23/2023,unclassifiable,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29887,GenBank,complete,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,1/5/2022
OU419333,Severe acute respiratory syndrome coronavirus 2,,London,United Kingdom,7/18/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29885,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,3/29/2021
MZ473485,Severe acute respiratory syndrome coronavirus 2,"Pandori,M., Gorzalski,A.J.","Nevada State Public Health Laboratory, UNR School of Medicine",USA,6/30/2021,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,NV-NSPHL-341694,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,GenBank,complete,,USA,USA,,Homo sapiens,,2/7/2021
OX645767,Severe acute respiratory syndrome coronavirus 2,,"Oxford, United Kingdom; Basingstoke",United Kingdom,6/15/2023,B.1.177,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/6/2021
OL762625,Severe acute respiratory syndrome coronavirus 2,"Blankenship,H.M., Diana,R., Soehnlen,M.","Michigan Department of Health and Human Services, Bureau of Laboratories",USA,12/8/2021,AY.44,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,MI-MDHHS-SC35142,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29813,GenBank,complete,,USA: Michigan,USA,MI,Homo sapiens,swab,10/1/2021
OW473534,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,4/16/2022,AY.4,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29642,GenBank,complete,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,10/21/2021
OY714156,Severe acute respiratory syndrome coronavirus 2,,"Yourgene Health, Citylabs 1.0, Nelson Street, Manchester, M13 9NQ",,8/5/2023,B.1.1.529,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,2/3/2022
MZ280932,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,5/25/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-ASC210060902,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,USA: Illinois,USA,IL,Homo sapiens,,5/8/2021
ON189230,Severe acute respiratory syndrome coronavirus 2,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,4/8/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-220331170046,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29788,GenBank,complete,,USA,USA,,Homo sapiens,,1/25/2022
OY939698,Severe acute respiratory syndrome coronavirus 2,,"Oxford, United Kingdom; Basingstoke",United Kingdom,12/9/2023,B.1.36.29,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,9/7/2020
OL601806,Severe acute respiratory syndrome coronavirus 2,"Lorenzo-Redondo,R., Fowtade,A., Omoruyi,E.C., Adeniji,J.A., Taiwo,B.O., Adewumi,O.M., Maiga,M., Guindo,I., Maiga,A.I., Somboro,A.M., Simons,L.M., Hultquist,J.F., Ozer,E.A.","Northwestern University Feinberg School of Medicine, Medicine",USA,11/22/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,BCVL-23740,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29762,GenBank,complete,,Nigeria: Oyo,Nigeria,,Homo sapiens,oronasopharynx,2/12/2021
ON578977,Severe acute respiratory syndrome coronavirus 2,"Guarischi,R., Pierre,P., Bonaldi,A., Oliveira,C., Histrov,A., Yamamoto,L., Salazar,R., Lopes,A., Levi,J.","Dasa, R&D",Brazil,5/24/2022,AY.99.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,RJ-NVBS6453GENOV890123772447,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29811,GenBank,complete,,Brazil,Brazil,,Homo sapiens,,9/6/2021
OM277209,Severe acute respiratory syndrome coronavirus 2,"Freeman,J.S., Lee,B.","CoV_South Carolina Dept. of Health & Environmental Control, South Carolina Dept. of Health & Environmental Control",USA,1/15/2022,AY.119,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SC-COVID21-6920,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29799,GenBank,complete,,"USA: SC, HORRY",USA,SC,Homo sapiens,oronasopharynx,12/17/2021
OQ523454,Severe acute respiratory syndrome coronavirus 2,"Arantes,I., Bello,G., Nascimento,V., Souza,V., Silva,A., Silva,D., Nascimento,F., Mejia,M., Brandao,M.J., Goncalves,L., Silva,G., Costa,C., Abdalla,L., Santos,J.H., Ramos,T.C., Piantham,C., Ito,K., Siqueira,M., Resende,P., Wallau,G., Delatorre,E., Graf,T., Naveca,F.","Fiocruz, Instituto Leonidas e Maria Deane",Brazil,2/27/2023,BA.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,ILMD2200201,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29747,GenBank,complete,,Brazil,Brazil,,Homo sapiens,oronasopharynx,12/29/2021
OM879595,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,3/2/2022,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-FG-282422,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29820,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2/16/2022
ON418015,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,5/5/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-QDX35975427,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,GenBank,complete,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,4/14/2022
MW994530,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,4/22/2021,R.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,NJ-CDC-ASC210006257,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,GenBank,complete,,USA: New Jersey,USA,NJ,Homo sapiens,,3/12/2021
